sport,event_id,market,selection,line,price,participant,opponent,team_name,home_team,away_team,book,fetched_at
mlb,33984819,game_total_runs,under,8.5,100.0,,,,,,DraftKings,2026-04-14T20:34:24Z
mlb,33984819,hits_milestones,1+,,-343.0,Gunnar Henderson,,,,,DraftKings,2026-04-14T20:34:24Z
mlb,33984819,hits_milestones,2+,,163.0,Gunnar Henderson,,,,,DraftKings,2026-04-14T20:34:24Z
mlb,33984819,hits_milestones,3+,,700.0,Gunnar Henderson,,,,,DraftKings,2026-04-14T20:34:24Z
mlb,33984819,hits_milestones,4+,,3200.0,Gunnar Henderson,,,,,DraftKings,2026-04-14T20:34:24Z
mlb,33984819,hits_milestones,1+,,-274.0,Ketel Marte,,,,,DraftKings,2026-04-14T20:34:24Z
mlb,33984819,hits_milestones,2+,,191.0,Ketel Marte,,,,,DraftKings,2026-04-14T20:34:24Z
mlb,33984819,hits_milestones,3+,,790.0,Ketel Marte,,,,,DraftKings,2026-04-14T20:34:24Z
mlb,33984819,hits_milestones,4+,,3400.0,Ketel Marte,,,,,DraftKings,2026-04-14T20:34:24Z
mlb,33984819,hits_milestones,1+,,-307.0,Pete Alonso,,,,,DraftKings,2026-04-14T20:34:24Z
mlb,33984819,hits_milestones,2+,,176.0,Pete Alonso,,,,,DraftKings,2026-04-14T20:34:24Z
mlb,33984819,hits_milestones,3+,,830.0,Pete Alonso,,,,,DraftKings,2026-04-14T20:34:24Z
mlb,33984819,hits_milestones,4+,,3600.0,Pete Alonso,,,,,DraftKings,2026-04-14T20:34:24Z
mlb,33984819,hits_milestones,1+,,-253.0,Corbin Carroll,,,,,DraftKings,2026-04-14T20:34:24Z
mlb,33984819,hits_milestones,2+,,211.0,Corbin Carroll,,,,,DraftKings,2026-04-14T20:34:24Z
mlb,33984819,hits_milestones,3+,,920.0,Corbin Carroll,,,,,DraftKings,2026-04-14T20:34:24Z
mlb,33984819,hits_milestones,4+,,3900.0,Corbin Carroll,,,,,DraftKings,2026-04-14T20:34:24Z
mlb,33984819,hits_milestones,1+,,-226.0,Geraldo Perdomo,,,,,DraftKings,2026-04-14T20:34:24Z
mlb,33984819,hits_milestones,2+,,237.0,Geraldo Perdomo,,,,,DraftKings,2026-04-14T20:34:24Z
mlb,33984819,hits_milestones,3+,,1060.0,Geraldo Perdomo,,,,,DraftKings,2026-04-14T20:34:24Z
mlb,33984819,hits_milestones,4+,,4700.0,Geraldo Perdomo,,,,,DraftKings,2026-04-14T20:34:24Z
mlb,33984819,hits_milestones,1+,,-223.0,Nolan Arenado,,,,,DraftKings,2026-04-14T20:34:24Z
mlb,33984819,hits_milestones,2+,,233.0,Nolan Arenado,,,,,DraftKings,2026-04-14T20:34:24Z
mlb,33984819,hits_milestones,3+,,1020.0,Nolan Arenado,,,,,DraftKings,2026-04-14T20:34:24Z
mlb,33984819,hits_milestones,4+,,4900.0,Nolan Arenado,,,,,DraftKings,2026-04-14T20:34:24Z
mlb,33984819,hits_milestones,1+,,-238.0,Samuel Basallo,,,,,DraftKings,2026-04-14T20:34:24Z
mlb,33984819,hits_milestones,2+,,230.0,Samuel Basallo,,,,,DraftKings,2026-04-14T20:34:24Z
mlb,33984819,hits_milestones,3+,,1100.0,Samuel Basallo,,,,,DraftKings,2026-04-14T20:34:24Z
mlb,33984819,hits_milestones,4+,,4900.0,Samuel Basallo,,,,,DraftKings,2026-04-14T20:34:24Z
mlb,33984819,hits_milestones,1+,,-221.0,Ildemaro Vargas,,,,,DraftKings,2026-04-14T20:34:24Z
mlb,33984819,hits_milestones,2+,,256.0,Ildemaro Vargas,,,,,DraftKings,2026-04-14T20:34:24Z
mlb,33984819,hits_milestones,3+,,1240.0,Ildemaro Vargas,,,,,DraftKings,2026-04-14T20:34:24Z
mlb,33984819,hits_milestones,1+,,-201.0,Taylor Ward,,,,,DraftKings,2026-04-14T20:34:24Z
mlb,33984819,hits_milestones,2+,,276.0,Taylor Ward,,,,,DraftKings,2026-04-14T20:34:24Z
mlb,33984819,hits_milestones,3+,,1340.0,Taylor Ward,,,,,DraftKings,2026-04-14T20:34:24Z
mlb,33984819,hits_milestones,1+,,-216.0,Leody Taveras,,,,,DraftKings,2026-04-14T20:34:24Z
mlb,33984819,hits_milestones,2+,,264.0,Leody Taveras,,,,,DraftKings,2026-04-14T20:34:24Z
mlb,33984819,hits_milestones,3+,,1360.0,Leody Taveras,,,,,DraftKings,2026-04-14T20:34:24Z
mlb,33984819,hits_milestones,1+,,-181.0,Dylan Beavers,,,,,DraftKings,2026-04-14T20:34:24Z
mlb,33984819,hits_milestones,2+,,314.0,Dylan Beavers,,,,,DraftKings,2026-04-14T20:34:24Z
mlb,33984819,hits_milestones,3+,,1480.0,Dylan Beavers,,,,,DraftKings,2026-04-14T20:34:24Z
mlb,33984819,hits_milestones,1+,,-196.0,Jeremiah Jackson,,,,,DraftKings,2026-04-14T20:34:24Z
mlb,33984819,hits_milestones,2+,,298.0,Jeremiah Jackson,,,,,DraftKings,2026-04-14T20:34:24Z
mlb,33984819,hits_milestones,3+,,1580.0,Jeremiah Jackson,,,,,DraftKings,2026-04-14T20:34:24Z
mlb,33984819,hits_milestones,1+,,-167.0,James McCann,,,,,DraftKings,2026-04-14T20:34:24Z
